Windows 2012R2 Features list
#
Display Name                                                               Name
[ ] Remote Differential Compression                                        RDC
[X] Remote Server Administration Tools                                     RSAT
    [X] Feature Administration Tools                                       RSAT-Feature-Tools
        [ ] SMTP Server Tools                                              RSAT-SMTP
        [ ] BitLocker Drive Encryption Administration Utilities            RSAT-Feature-Tools-BitLocker
            [ ] BitLocker Drive Encryption Tools                           RSAT-Feature-Tools-BitLocker-RemoteAdminTool
            [ ] BitLocker Recovery Password Viewer                         RSAT-Feature-Tools-BitLocker-BdeAducExt
        [ ] BITS Server Extensions Tools                                   RSAT-Bits-Server
        [ ] Failover Clustering Tools                                      RSAT-Clustering
            [ ] Failover Cluster Management Tools                          RSAT-Clustering-Mgmt
            [ ] Failover Cluster Module for Windows PowerShell             RSAT-Clustering-PowerShell
            [ ] Failover Cluster Automation Server                         RSAT-Clustering-AutomationServer
            [ ] Failover Cluster Command Interface                         RSAT-Clustering-CmdInterface
        [ ] IP Address Management (IPAM) Client                            IPAM-Client-Feature
        [ ] Network Load Balancing Tools                                   RSAT-NLB
        [X] SNMP Tools                                                     RSAT-SNMP
        [ ] WINS Server Tools                                              RSAT-WINS
    [X] Role Administration Tools                                          RSAT-Role-Tools
        [X] AD DS and AD LDS Tools                                         RSAT-AD-Tools
            [X] Active Directory module for Windows PowerShell             RSAT-AD-PowerShell
            [X] AD DS Tools                                                RSAT-ADDS
                [X] Active Directory Administrative Center                 RSAT-AD-AdminCenter
                [X] AD DS Snap-Ins and Command-Line Tools                  RSAT-ADDS-Tools
                [ ] Server for NIS Tools [DEPRECATED]                      RSAT-NIS
            [X] AD LDS Snap-Ins and Command-Line Tools                     RSAT-ADLDS
        [X] Hyper-V Management Tools                                       RSAT-Hyper-V-Tools
            [X] Hyper-V GUI Management Tools                               Hyper-V-Tools
            [X] Hyper-V Module for Windows PowerShell                      Hyper-V-PowerShell
        [X] Remote Desktop Services Tools                                  RSAT-RDS-Tools
            [ ] Remote Desktop Gateway Tools                               RSAT-RDS-Gateway
            [ ] Remote Desktop Licensing Diagnoser Tools                   RSAT-RDS-Licensing-Diagnosis-UI
            [ ] Remote Desktop Licensing Tools                             RDS-Licensing-UI
        [X] Windows Server Update Services Tools                           UpdateServices-RSAT
            [X] API and PowerShell cmdlets                                 UpdateServices-API
            [X] User Interface Management Console                          UpdateServices-UI
        [ ] Active Directory Certificate Services Tools                    RSAT-ADCS
            [ ] Certification Authority Management Tools                   RSAT-ADCS-Mgmt
            [ ] Online Responder Tools                                     RSAT-Online-Responder
        [ ] Active Directory Rights Management Services Tools              RSAT-ADRMS
        [ ] DHCP Server Tools                                              RSAT-DHCP
        [ ] DNS Server Tools                                               RSAT-DNS-Server
        [ ] Fax Server Tools                                               RSAT-Fax
        [X] File Services Tools                                            RSAT-File-Services
            [X] DFS Management Tools                                       RSAT-DFS-Mgmt-Con
            [ ] File Server Resource Manager Tools                         RSAT-FSRM-Mgmt
            [ ] Services for Network File System Management Tools          RSAT-NFS-Admin
            [ ] Share and Storage Management Tool                          RSAT-CoreFile-Mgmt
        [ ] Network Policy and Access Services Tools                       RSAT-NPAS
        [ ] Print and Document Services Tools                              RSAT-Print-Services
        [ ] Remote Access Management Tools                                 RSAT-RemoteAccess
            [ ] Remote Access GUI and Command-Line Tools                   RSAT-RemoteAccess-Mgmt
            [ ] Remote Access module for Windows PowerShell                RSAT-RemoteAccess-PowerShell
